iter	Passed	Remaining
179	440	2006
180	441	1997
181	442	1990
182	444	1983
183	445	1977
184	447	1973
185	449	1966
186	450	1958
187	451	1950
188	453	1944
189	454	1936
190	455	1929
191	456	1921
192	458	1915
193	459	1908
194	461	1903
195	463	1899
196	464	1893
197	465	1887
198	467	1880
199	468	1874
200	470	1869
201	471	1862
202	472	1855
203	473	1847
204	474	1840
205	477	1838
206	478	1832
207	479	1826
208	480	1819
209	481	1813
210	483	1806
211	484	1799
212	485	1793
213	486	1788
214	488	1781
215	489	1775
216	491	1772
217	492	1767
218	493	1761
219	495	1755
220	496	1750
221	497	1743
222	498	1737
223	499	1732
224	501	1726
225	502	1721
226	504	1716
227	505	1713
228	507	1707
229	508	1702
230	509	1697
231	511	1692
232	512	1687
233	513	1681
234	514	1676
235	516	1671
236	517	1666
237	519	1664
238	521	1659
239	523	1656
240	524	1652
241	526	1649
242	528	1645
243	529	1640
244	530	1635
245	531	1630
246	533	1625
247	535	1622
248	536	1618
249	537	1613
250	539	1608
251	540	1604
252	541	1600
253	543	1595
254	544	1590
255	545	1585
256	546	1580
257	548	1577
258	549	1572
259	551	1568
260	552	1564
261	553	1559
262	554	1554
263	556	1550
264	557	1545
265	558	1541
266	559	1537
267	560	1532
268	562	1529
269	564	1525
270	565	1521
271	566	1517
272	568	1513
273	569	1509
274	570	1505
275	572	1501
276	573	1497
277	574	1492
278	576	1488
279	578	1487
280	580	1484
281	581	1480
282	582	1476
283	584	1472
284	585	1468
285	586	1464
286	588	1460
287	589	1456
288	590	1452
289	591	1448
290	594	1449
291	596	1445
292	597	1441
293	598	1437
294	599	1433
295	601	1429
296	602	1425
297	603	1421
298	604	1417
299	605	1413
300	608	1412
301	609	1408
302	610	1405
303	612	1401
304	613	1397
305	614	1393
306	615	1389
307	616	1385
308	617	1380
309	618	1376
310	619	1372
311	620	1368
312	622	1366
313	623	1363
314	625	1359
315	626	1355
316	627	1351
317	628	1348
318	629	1344
319	631	1341
320	632	1337
321	633	1333
322	634	1329
323	637	1329
324	638	1326
325	640	1323
326	641	1320
327	642	1316
328	643	1313
329	644	1309
330	646	1306
331	647	1302
332	648	1299
333	649	1295
334	652	1295
335	654	1292
336	655	1289
337	656	1286
338	658	1283
339	659	1280
340	660	1277
341	662	1273
342	663	1270
343	664	1267
344	666	1265
345	667	1262
346	668	1258
347	670	1255
348	671	1252
349	672	1249
350	673	1245
351	674	1241
352	675	1238
353	676	1234
354	677	1231
355	678	1227
356	681	1227
357	682	1224
358	683	1220
359	684	1217
360	685	1213
361	686	1210
362	687	1207
363	689	1204
364	690	1200
365	691	1197
366	692	1193
367	693	1190
368	695	1188
369	696	1185
370	697	1182
371	698	1179
372	699	1176
373	700	1172
374	701	1169
375	702	1166
376	703	1162
377	704	1159
378	706	1156
379	707	1153
380	708	1151
381	710	1149
382	711	1146
383	712	1143
384	713	1140
385	714	1137
386	715	1134
387	717	1130
388	718	1127
389	719	1125
390	720	1121
391	721	1118
392	722	1116
393	724	1114
394	725	1111
395	726	1108
396	727	1105
397	729	1102
398	730	1100
399	731	1097
400	732	1094
401	733	1090
402	734	1087
403	735	1084
404	736	1081
405	737	1079
406	739	1076
407	740	1074
408	741	1071
409	742	1068
410	743	1065
411	744	1062
412	746	1060
413	747	1058
414	748	1055
415	749	1052
416	750	1049
417	752	1047
418	753	1045
419	754	1042
420	755	1039
421	756	1036
422	758	1034
423	759	1031
424	760	1028
425	761	1025
426	762	1022
427	763	1020
428	764	1017
429	766	1015
430	768	1013
431	769	1011
432	770	1008
433	771	1006
434	772	1003
435	773	1000
436	775	998
437	775	995
438	776	992
439	777	990
440	779	987
441	780	984
442	781	982
443	782	980
444	784	978
445	785	975
446	786	973
447	787	970
448	789	968
449	790	965
450	791	963
451	792	960
452	793	958
453	794	955
454	795	953
455	797	951
456	798	948
457	799	946
458	800	943
459	801	941
460	802	938
461	803	936
462	804	933
463	806	931
464	807	928
465	808	926
466	809	923
467	810	921
468	812	919
469	813	917
470	814	914
471	815	912
472	816	909
473	817	907
474	819	905
475	821	904
476	822	902
477	824	899
478	825	898
479	827	895
480	828	893
481	829	891
482	830	889
483	832	887
484	833	885
485	834	882
486	836	880
487	837	878
488	838	876
489	839	874
490	841	872
491	843	870
492	844	868
493	845	866
494	846	864
495	848	861
496	849	859
497	850	857
498	851	855
499	852	852
500	855	851
501	856	850
502	858	848
503	859	846
504	861	844
505	862	841
506	863	839
507	865	837
508	866	835
509	867	833
510	871	833
511	872	831
512	874	829
513	875	827
514	877	826
515	878	824
516	879	822
517	881	820
518	882	817
519	884	816
520	885	814
521	887	812
522	888	810
523	890	808
524	891	806
525	892	804
526	893	802
527	895	800
528	896	798
529	899	797
530	901	796
531	902	794
532	904	792
533	905	790
534	907	788
535	908	786
536	909	784
537	911	782
538	915	783
539	917	781
540	918	779
541	920	777
542	921	775
543	923	773
544	924	771
545	925	769
546	928	768
547	929	766
548	931	765
549	933	763
550	934	761
551	935	759
552	937	757
553	938	755
554	939	753
555	940	751
556	942	749
557	944	748
558	945	746
559	947	744
560	948	742
561	949	740
562	950	737
563	951	735
564	953	734
565	955	732
566	957	731
567	959	729
568	961	727
569	962	725
570	963	723
571	964	721
572	965	719
573	967	717
574	968	715
575	969	713
576	971	712
577	973	710
578	974	708
579	976	706
580	977	704
581	978	703
582	980	701
583	981	699
584	982	697
585	984	695
586	985	693
587	987	691
588	989	690
589	990	688
590	991	686
591	992	684
592	994	682
593	995	680
594	997	678
595	998	676
596	999	674
597	1001	673
598	1003	671
599	1005	670
600	1007	668
601	1008	666
602	1009	664
603	1010	662
604	1012	660
605	1013	658
606	1016	658
607	1018	656
608	1020	655
609	1022	653
610	1023	651
611	1024	649
612	1026	647
613	1027	645
614	1032	646
615	1035	645
616	1037	643
617	1038	641
618	1039	640
619	1042	639
620	1046	638
621	1049	637
622	1053	637
623	1055	636
624	1057	634
625	1059	632
626	1064	633
627	1066	631
628	1068	630
629	1071	629
630	1073	627
631	1074	625
632	1077	624
633	1079	623
634	1081	621
635	1082	619
636	1085	618
637	1087	616
638	1088	614
639	1089	613
640	1104	618
641	1107	617
642	1109	615
643	1111	614
644	1113	612
645	1114	610
646	1116	609
647	1119	607
648	1122	607
649	1124	605
650	1126	603
651	1130	603
652	1132	601
653	1133	599
654	1139	600
655	1141	598
656	1143	597
657	1146	595
658	1148	594
659	1150	592
660	1153	591
661	1155	590
662	1157	588
663	1159	586
664	1160	584
665	1162	582
666	1163	581
667	1165	579
668	1168	578
669	1170	576
670	1171	574
671	1173	572
672	1175	571
673	1177	569
674	1178	567
675	1179	565
676	1184	564
677	1185	563
678	1187	561
679	1189	559
680	1191	557
681	1192	556
682	1194	554
683	1197	553
684	1199	551
685	1201	549
686	1203	548
687	1204	546
688	1206	544
689	1208	542
690	1209	540
691	1212	539
692	1214	537
693	1215	535
694	1217	534
695	1218	532
696	1220	530
697	1222	528
698	1223	526
699	1224	524
700	1227	523
701	1229	521
702	1230	519
703	1232	518
704	1233	516
705	1235	514
706	1236	512
707	1238	510
708	1240	509
709	1242	507
710	1244	506
711	1246	504
712	1248	502
713	1249	500
714	1251	498
715	1252	496
716	1254	495
717	1256	493
718	1258	491
719	1259	489
720	1261	488
721	1262	486
722	1264	484
723	1266	482
724	1267	480
725	1268	478
726	1271	477
727	1273	475
728	1274	473
729	1275	471
730	1277	470
731	1278	468
732	1280	466
733	1281	464
734	1282	462
735	1284	460
736	1286	459
737	1287	457
738	1289	455
739	1290	453
740	1291	451
741	1292	449
742	1293	447
743	1295	445
744	1296	443
745	1297	441
746	1300	440
747	1301	438
748	1302	436
749	1304	434
750	1305	432
751	1306	430
752	1308	429
753	1309	427
754	1310	425
755	1311	423
756	1312	421
757	1315	419
758	1316	418
759	1318	416
760	1319	414
761	1320	412
762	1322	410
763	1323	408
764	1324	406
765	1326	405
766	1328	403
767	1329	401
768	1331	399
769	1332	398
770	1334	396
771	1335	394
772	1336	392
773	1337	390
774	1339	388
775	1340	386
776	1341	385
777	1343	383
778	1344	381
779	1346	379
780	1347	377
781	1349	376
782	1350	374
783	1351	372
784	1353	370
785	1354	368
786	1355	366
787	1357	365
788	1359	363
789	1360	361
790	1361	359
791	1362	357
792	1363	356
793	1365	354
794	1366	352
795	1367	350
796	1368	348
797	1369	346
798	1370	344
799	1372	343
800	1374	341
801	1375	339
802	1377	337
803	1378	336
804	1380	334
805	1381	332
806	1382	330
807	1383	328
808	1385	326
809	1386	325
810	1388	323
811	1390	321
812	1391	320
813	1393	318
814	1394	316
815	1395	314
816	1396	312
817	1398	311
818	1399	309
819	1401	307
820	1402	305
821	1404	304
822	1405	302
823	1406	300
824	1407	298
825	1409	296
826	1410	295
827	1412	293
828	1413	291
829	1414	289
830	1416	288
831	1417	286
832	1418	284
833	1419	282
834	1420	280
835	1422	278
836	1423	277
837	1424	275
838	1425	273
839	1426	271
840	1427	269
841	1428	268
842	1429	266
843	1431	264
844	1433	262
845	1434	261
846	1436	259
847	1437	257
848	1438	255
849	1440	254
850	1441	252
851	1442	250
852	1444	248
853	1446	247
854	1447	245
855	1449	243
856	1450	242
857	1452	240
858	1453	238
859	1454	236
860	1455	235
861	1456	233
862	1457	231
863	1459	229
864	1461	228
865	1463	226
866	1464	224
867	1465	222
868	1466	221
869	1467	219
870	1468	217
871	1469	215
872	1470	213
873	1472	212
874	1473	210
875	1475	208
876	1477	207
877	1478	205
878	1480	203
879	1481	201
880	1482	200
881	1484	198
882	1485	196
883	1486	195
884	1487	193
885	1488	191
886	1491	189
887	1492	188
888	1493	186
889	1494	184
890	1496	183
891	1497	181
892	1498	179
893	1499	177
894	1500	176
895	1501	174
896	1503	172
897	1505	171
898	1507	169
899	1508	167
900	1509	165
901	1510	164
902	1511	162
903	1513	160
904	1514	158
905	1515	157
906	1516	155
907	1518	153
908	1519	152
909	1521	150
910	1522	148
911	1523	147
912	1525	145
913	1526	143
914	1527	141
915	1528	140
916	1530	138
917	1531	136
918	1534	135
919	1535	133
920	1536	131
921	1538	130
922	1539	128
923	1541	126
924	1542	125
925	1543	123
926	1544	121
927	1545	119
928	1547	118
929	1550	116
930	1551	115
931	1553	113
932	1554	111
933	1555	109
934	1557	108
935	1558	106
936	1559	104
937	1560	103
938	1563	101
939	1566	99
940	1567	98
941	1568	96
942	1570	94
943	1572	93
944	1573	91
945	1574	89
946	1576	88
947	1578	86
948	1580	84
949	1582	83
950	1584	81
951	1585	79
952	1587	78
953	1588	76
954	1590	74
955	1594	73
956	1596	71
957	1598	70
958	1599	68
959	1600	66
960	1602	65
961	1603	63
962	1605	61
963	1607	60
964	1609	58
965	1611	56
966	1612	55
967	1614	53
968	1616	51
969	1617	50
970	1618	48
971	1621	46
972	1623	45
973	1625	43
974	1626	41
975	1627	40
976	1629	38
977	1631	36
978	1632	35
979	1634	33
980	1637	31
981	1639	30
982	1643	28
983	1644	26
984	1646	25
985	1648	23
986	1650	21
987	1652	20
988	1655	18
989	1657	16
990	1658	15
991	1659	13
992	1660	11
993	1661	10
994	1663	8
995	1664	6
996	1669	5
997	1671	3
998	1672	1
999	1673	0
